TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,PreviousTransactionDate,is_weekend,TransactionType,Location,Channel,CustomerOccupation,Target
119.72,30.0,123.0,1.0,3435.34,2023-02-03 18:15:15,2024-11-04 08:10:20,WeekEnds,Debit,Tucson,Branch,Engineer,0
107.4,58.0,32.0,1.0,344.07,2023-06-22 16:47:47,2024-11-04 08:08:03,WeekDays,Debit,Virginia Beach,Online,Doctor,1
115.92,53.0,57.0,1.0,3897.17,2023-01-17 18:42:28,2024-11-04 08:09:02,WeekDays,Debit,Raleigh,ATM,Retired,1
438.04,67.0,247.0,1.0,5358.95,2023-08-24 18:54:06,2024-11-04 08:06:33,WeekDays,Debit,Philadelphia,ATM,Retired,1
677.29,27.0,287.0,1.0,627.79,2023-05-01 18:28:00,2024-11-04 08:07:16,WeekDays,Debit,Houston,Online,Engineer,0
296.0,35.0,247.99999999999997,1.0,7418.82,2023-05-15 16:25:29,2024-11-04 08:06:54,WeekDays,Debit,Las Vegas,Branch,Doctor,0
299.09,36.0,84.00000000000001,1.0,5615.26,2023-01-16 16:14:45,2024-11-04 08:08:01,WeekDays,Credit,Boston,Branch,Engineer,0
461.52,24.0,44.0,1.0,1995.1799999999998,2023-05-15 16:40:24,2024-11-04 08:08:53,WeekDays,Credit,Denver,Branch,Student,0
100.52,50.0,110.0,1.0,453.39,2023-01-30 17:28:00,2024-11-04 08:11:28,WeekDays,Debit,Las Vegas,ATM,Engineer,1
85.35,66.0,166.0,1.0,2173.76,2023-07-05 16:08:25,2024-11-04 08:06:25,WeekDays,Debit,Washington,ATM,Retired,1
79.76,39.0,170.0,1.0,6452.14,2023-02-06 16:26:29,2024-11-04 08:09:34,WeekDays,Debit,Raleigh,Branch,Engineer,0
778.49,75.0,107.0,1.0,7713.67,2023-07-03 16:48:21,2024-11-04 08:09:21,WeekDays,Credit,Omaha,Online,Retired,1
386.38,42.0,135.0,1.0,5528.36,2023-01-24 16:00:14,2024-11-04 08:10:06,WeekDays,Debit,Phoenix,Online,Engineer,0
165.25,35.0,106.0,1.0,9939.94,2023-11-24 17:11:27,2024-11-04 08:11:35,WeekEnds,Debit,Sacramento,Online,Doctor,0
14.29,34.0,150.0,1.0,7016.99,2023-02-28 16:28:25,2024-11-04 08:08:52,WeekDays,Debit,Los Angeles,ATM,Engineer,0
232.79,55.0,145.0,1.0,2661.3,2023-09-20 17:36:06,2024-11-04 08:11:40,WeekDays,Credit,Indianapolis,Branch,Retired,1
211.36,60.0,159.0,1.0,9410.17,2023-11-13 17:49:04,2024-11-04 08:11:45,WeekDays,Credit,Austin,Branch,Engineer,1
92.29,54.0,115.0,1.0,2026.3199999999997,2023-02-15 16:17:59,2024-11-04 08:11:25,WeekDays,Debit,Albuquerque,Branch,Engineer,1
293.97,68.0,153.0,1.0,7371.85,2023-11-13 17:34:15,2024-11-04 08:08:57,WeekDays,Debit,Phoenix,Branch,Retired,1
136.32,19.0,113.0,1.0,264.83,2023-10-11 18:50:24,2024-11-04 08:09:24,WeekDays,Debit,Miami,Online,Student,1
251.06,36.0,34.0,1.0,10001.66,2023-12-06 17:27:14,2024-11-04 08:10:13,WeekDays,Debit,Colorado Springs,Online,Doctor,0
50.17,77.0,35.0,1.0,7752.140000000001,2023-09-18 16:57:44,2024-11-04 08:10:59,WeekDays,Credit,Sacramento,ATM,Retired,1
21.4,34.0,258.0,1.0,9594.11,2023-12-26 16:07:28,2024-11-04 08:11:40,WeekDays,Debit,Fresno,Branch,Engineer,0
73.28,21.0,21.000000000000004,1.0,1329.41,2023-03-10 17:33:12,2024-11-04 08:10:57,WeekEnds,Debit,Boston,Branch,Student,0
70.23,38.0,260.0,1.0,11624.93,2023-09-13 16:18:07,2024-11-04 08:07:16,WeekDays,Debit,Memphis,ATM,Doctor,0
689.29,22.0,100.00000000000001,1.0,168.84,2023-01-06 17:30:07,2024-11-04 08:07:49,WeekEnds,Debit,El Paso,ATM,Student,0
745.03,28.0,231.0,1.0,160.57,2023-08-03 17:42:02,2024-11-04 08:09:15,WeekDays,Debit,Fort Worth,Online,Student,0
54.61,58.0,160.0,1.0,7135.64,2023-12-04 16:10:04,2024-11-04 08:07:19,WeekDays,Debit,Milwaukee,ATM,Engineer,1
54.05,27.0,146.0,1.0,469.13999999999993,2023-04-25 16:53:22,2024-11-04 08:11:34,WeekDays,Debit,Louisville,Branch,Student,0
107.47,67.0,144.0,1.0,7517.499999999999,2023-04-12 17:39:29,2024-11-04 08:12:09,WeekDays,Debit,Austin,Online,Retired,1
611.11,20.0,282.0,1.122664500406174,919.84,2023-10-18 18:32:31,2024-11-04 08:11:12,WeekDays,Debit,Detroit,ATM,Student,0
219.63,48.0,44.0,1.0,8013.63,2023-11-10 16:06:27,2024-11-04 08:07:29,WeekEnds,Debit,Charlotte,ATM,Doctor,0
188.7,45.0,123.0,1.0,5077.06,2023-02-10 16:01:04,2024-11-04 08:09:59,WeekEnds,Debit,New York,Branch,Retired,0
93.52,51.0,97.0,1.0,2791.2,2023-08-14 17:41:24,2024-11-04 08:08:04,WeekDays,Debit,Philadelphia,Online,Engineer,1
275.92,62.0,107.0,1.0,1777.38,2023-09-18 18:47:52,2024-11-04 08:07:39,WeekDays,Credit,Nashville,Branch,Retired,1
376.79,68.0,265.0,1.0,7749.14,2023-01-30 17:47:18,2024-11-04 08:08:44,WeekDays,Debit,Milwaukee,Branch,Retired,1
8.98,66.0,56.0,1.0,4516.76,2023-08-21 16:07:13,2024-11-04 08:10:53,WeekDays,Debit,Detroit,Online,Doctor,1
697.32,68.0,91.0,1.0,2016.0200000000002,2023-05-11 16:30:04,2024-11-04 08:11:18,WeekDays,Debit,Atlanta,Online,Retired,1
17.45,18.0,88.0,1.0,1959.52,2023-09-13 16:41:19,2024-11-04 08:09:39,WeekDays,Credit,Omaha,ATM,Student,1
302.16,80.0,138.0,1.122664500406174,3876.61,2023-10-18 17:47:52,2024-11-04 08:07:38,WeekDays,Debit,Kansas City,Online,Retired,1
442.74,23.0,136.0,1.0,1790.27,2023-10-16 17:47:41,2024-11-04 08:09:45,WeekDays,Debit,San Diego,Branch,Student,0
623.9,27.0,249.0,1.0,711.4699999999999,2023-08-08 17:44:21,2024-11-04 08:10:15,WeekDays,Debit,San Jose,ATM,Student,0
445.41,35.0,235.0,1.122664500406174,12154.66,2023-11-20 16:27:31,2024-11-04 08:08:08,WeekDays,Debit,Fresno,ATM,Doctor,0
63.41,26.0,36.0,1.0,1546.22,2023-11-24 17:29:06,2024-11-04 08:07:15,WeekEnds,Debit,Fort Worth,ATM,Student,0
346.85,44.0,88.0,1.0,7208.15,2023-11-03 18:33:50,2024-11-04 08:10:25,WeekEnds,Debit,Kansas City,ATM,Doctor,0
71.95,59.0,53.00000000000001,1.0,9267.32,2023-02-13 16:39:52,2024-11-04 08:06:23,WeekDays,Credit,Albuquerque,Online,Engineer,1
7.5,63.0,36.0,1.0,6485.78,2023-02-17 16:08:54,2024-11-04 08:11:28,WeekEnds,Debit,Dallas,Online,Retired,1
206.46,65.0,279.0,1.0,3984.38,2023-11-27 18:26:02,2024-11-04 08:06:44,WeekDays,Debit,Virginia Beach,ATM,Retired,1
423.11,60.0,47.0,1.0,412.78,2023-07-25 18:41:02,2024-11-04 08:10:58,WeekDays,Debit,Columbus,ATM,Engineer,1
35.84,54.0,172.0,1.0,4795.65,2023-03-28 17:23:54,2024-11-04 08:10:57,WeekDays,Credit,Colorado Springs,Online,Retired,1
88.6,28.0,105.0,1.0,246.57,2023-02-14 17:01:44,2024-11-04 08:08:47,WeekDays,Credit,Raleigh,Branch,Student,0
211.36,18.0,168.00000000000003,1.0,1058.13,2023-09-04 18:46:40,2024-11-04 08:11:20,WeekDays,Debit,Oklahoma City,ATM,Student,1
53.81,55.0,37.0,1.122664500406174,4734.110000000001,2023-10-16 16:55:44,2024-11-04 08:12:05,WeekDays,Credit,Raleigh,ATM,Engineer,1
22.46,54.0,78.0,1.0,6631.5,2023-05-17 16:03:51,2024-11-04 08:07:46,WeekDays,Debit,New York,Online,Retired,1
334.89,21.0,260.0,1.0,1661.68,2023-07-20 18:23:13,2024-11-04 08:08:44,WeekDays,Debit,Fort Worth,Online,Student,0
319.27,54.0,59.00000000000001,1.0,5504.01,2023-07-20 16:58:05,2024-11-04 08:06:35,WeekDays,Credit,Omaha,Online,Retired,1
144.3,18.0,88.0,1.0,312.19,2023-12-08 17:24:44,2024-11-04 08:10:39,WeekEnds,Debit,Oklahoma City,ATM,Student,1
348.7,69.0,149.0,1.0,2445.58,2023-05-02 17:13:45,2024-11-04 08:06:58,WeekDays,Credit,Fresno,Branch,Retired,1
366.21,62.0,181.0,1.0,10862.99,2023-01-12 17:57:06,2024-11-04 08:11:36,WeekDays,Debit,Oklahoma City,ATM,Doctor,1
99.11,55.0,12.0,1.0,5414.87,2023-05-01 16:58:41,2024-11-04 08:09:35,WeekDays,Debit,Philadelphia,Online,Retired,1
539.35,55.0,127.0,1.0,3919.4399999999996,2023-05-22 17:34:50,2024-11-04 08:11:49,WeekDays,Debit,Milwaukee,ATM,Retired,1
188.99,58.0,91.99999999999999,1.0,7315.34,2023-06-08 16:43:06,2024-11-04 08:07:32,WeekDays,Debit,Oklahoma City,Branch,Engineer,1
211.36,46.0,58.00000000000001,1.0,3740.7300000000005,2023-01-16 17:00:11,2024-11-04 08:11:35,WeekDays,Debit,Nashville,ATM,Engineer,0
710.14,26.0,227.0,1.0,465.62999999999994,2023-03-08 16:20:43,2024-11-04 08:12:20,WeekDays,Debit,El Paso,ATM,Student,0
308.68,53.0,170.0,1.0,9992.36,2023-02-27 17:14:10,2024-11-04 08:10:16,WeekDays,Debit,Milwaukee,Online,Doctor,1
166.68,57.0,139.0,1.0,5141.19,2023-03-27 18:47:56,2024-11-04 08:12:19,WeekDays,Debit,Mesa,ATM,Retired,1
0.99,45.0,133.0,1.0,4317.85,2023-09-13 16:55:14,2024-11-04 08:09:12,WeekDays,Debit,Los Angeles,ATM,Engineer,0
505.18999999999994,30.0,128.0,1.122664500406174,5326.68,2023-03-14 16:25:04,2024-11-04 08:10:19,WeekDays,Debit,Kansas City,ATM,Doctor,0
66.58,23.0,79.0,1.0,1636.32,2023-12-04 17:06:43,2024-11-04 08:08:48,WeekDays,Debit,Raleigh,Branch,Student,0
223.43,77.0,178.0,1.0,7932.410000000001,2023-02-08 17:59:42,2024-11-04 08:09:38,WeekDays,Debit,Dallas,Branch,Retired,1
659.95,60.0,114.0,1.0,3927.6900000000005,2023-09-20 16:59:45,2024-11-04 08:06:26,WeekDays,Debit,Detroit,Online,Engineer,1
634.86,27.0,45.0,1.0,588.4999999999999,2023-08-10 16:28:55,2024-11-04 08:08:00,WeekDays,Debit,Chicago,ATM,Student,0
286.5,30.0,60.00000000000001,1.0,8517.95,2023-10-23 16:58:04,2024-11-04 08:09:17,WeekDays,Credit,Boston,Branch,Engineer,0
322.96,76.0,168.00000000000003,1.0,2401.59,2023-11-27 16:21:20,2024-11-04 08:11:24,WeekDays,Credit,Philadelphia,Branch,Retired,1
654.48,19.0,114.0,1.0,6776.41,2023-08-07 16:37:06,2024-11-04 08:10:17,WeekDays,Debit,Columbus,Branch,Student,1
157.97,48.0,140.0,1.0,5529.92,2023-06-21 16:00:51,2024-11-04 08:10:06,WeekDays,Debit,Philadelphia,Branch,Doctor,0
120.90000000000002,40.0,52.00000000000001,1.0,9009.42,2023-07-12 16:17:27,2024-11-04 08:08:19,WeekDays,Credit,Tucson,Branch,Doctor,0
254.77,57.0,57.0,1.0,5994.87,2023-01-18 16:47:29,2024-11-04 08:07:07,WeekDays,Debit,Denver,Branch,Engineer,1
795.96,65.0,119.0,1.0,5468.58,2023-09-28 17:53:43,2024-11-04 08:08:26,WeekDays,Debit,Raleigh,Online,Retired,1
149.25,39.0,142.0,1.0,5677.52,2023-04-10 16:38:45,2024-11-04 08:07:41,WeekDays,Debit,Omaha,ATM,Engineer,0
3.42,43.0,158.0,1.0,14180.21,2023-09-25 16:14:35,2024-11-04 08:08:48,WeekDays,Credit,San Antonio,ATM,Doctor,0
68.19,40.0,189.0,1.0,9895.1,2023-03-14 16:07:32,2024-11-04 08:07:50,WeekDays,Credit,Fresno,Online,Doctor,0
493.4200000000001,39.0,111.0,1.0,2232.84,2023-06-14 17:21:32,2024-11-04 08:10:01,WeekDays,Credit,Baltimore,Branch,Engineer,0
37.57,57.0,42.00000000000001,1.0,7739.54,2023-04-26 18:35:50,2024-11-04 08:09:21,WeekDays,Debit,El Paso,ATM,Retired,1
127.00000000000001,19.0,68.00000000000001,1.122664500406174,431.16,2023-09-15 17:09:41,2024-11-04 08:10:12,WeekEnds,Credit,Nashville,Branch,Student,1
96.89,59.0,53.00000000000001,1.0,6044.93,2023-03-16 16:02:01,2024-11-04 08:11:06,WeekDays,Debit,Albuquerque,ATM,Doctor,1
448.33,25.0,161.0,1.0,922.19,2023-05-01 16:11:56,2024-11-04 08:09:44,WeekDays,Debit,Atlanta,ATM,Student,0
211.36,51.0,55.0,1.0,447.53,2023-09-18 17:44:50,2024-11-04 08:11:35,WeekDays,Debit,San Diego,ATM,Engineer,1
8.65,48.0,273.0,1.0,10778.35,2023-06-05 17:08:37,2024-11-04 08:09:03,WeekDays,Debit,Las Vegas,Online,Doctor,0
65.57,41.0,82.0,1.0,4734.110000000001,2023-04-06 17:24:16,2024-11-04 08:06:26,WeekDays,Debit,Miami,Online,Engineer,0
539.81,46.0,177.0,1.0,2051.25,2023-02-21 16:14:16,2024-11-04 08:09:05,WeekDays,Debit,San Francisco,Online,Engineer,0
363.53,63.0,142.0,1.0,1038.91,2023-01-18 17:03:54,2024-11-04 08:10:57,WeekDays,Debit,Kansas City,ATM,Retired,1
64.9,51.0,72.0,1.0,6854.61,2023-02-14 16:23:39,2024-11-04 08:10:18,WeekDays,Credit,Detroit,Branch,Retired,1
358.18,18.0,157.0,1.0,619.86,2023-04-10 16:44:52,2024-11-04 08:07:58,WeekDays,Debit,Boston,ATM,Student,1
167.2,30.0,84.00000000000001,1.0,11320.83,2023-01-18 17:53:37,2024-11-04 08:06:52,WeekDays,Debit,San Antonio,Branch,Doctor,0
121.90999999999998,60.0,133.0,1.0,14510.8,2023-06-26 18:39:52,2024-11-04 08:08:59,WeekDays,Debit,Chicago,Branch,Doctor,1
137.57,54.0,70.0,1.0,5103.67,2023-12-11 17:26:22,2024-11-04 08:11:22,WeekDays,Debit,Louisville,Online,Engineer,1
534.62,55.0,45.0,1.0,13793.53,2023-12-05 17:51:28,2024-11-04 08:06:35,WeekDays,Debit,Oklahoma City,Online,Doctor,1
463.92,50.0,199.0,1.0,2403.39,2023-03-13 16:41:12,2024-11-04 08:09:14,WeekDays,Debit,Mesa,Online,Engineer,1
320.14,60.0,96.0,1.0,3075.97,2023-01-31 16:58:42,2024-11-04 08:07:40,WeekDays,Debit,Milwaukee,Online,Retired,1
214.93,28.0,52.00000000000001,1.0,7835.4,2023-05-15 17:02:15,2024-11-04 08:08:51,WeekDays,Debit,Albuquerque,Online,Student,0
660.02,20.0,84.00000000000001,1.0,414.43,2023-10-12 16:57:36,2024-11-04 08:08:35,WeekDays,Debit,Nashville,Branch,Student,0
345.81,40.0,135.0,1.0,6116.8,2023-06-26 16:10:57,2024-11-04 08:12:14,WeekDays,Debit,Raleigh,Branch,Engineer,0
143.54,71.0,80.0,1.0,6067.62,2023-10-16 16:06:05,2024-11-04 08:08:22,WeekDays,Debit,Philadelphia,ATM,Retired,1
42.55,53.0,29.000000000000004,1.0,7341.43,2023-03-31 18:57:11,2024-11-04 08:10:32,WeekEnds,Debit,Seattle,Branch,Engineer,1
211.36,21.0,128.0,1.0,1240.71,2023-01-17 16:48:10,2024-11-04 08:07:39,WeekDays,Credit,Omaha,Online,Student,0
541.79,22.0,125.0,1.0,1454.08,2023-08-11 16:43:45,2024-11-04 08:11:29,WeekEnds,Debit,Mesa,ATM,Student,0
40.57,26.0,63.0,1.0,1476.91,2023-02-13 17:02:27,2024-11-04 08:06:37,WeekDays,Debit,Columbus,Branch,Student,0
120.24000000000001,18.0,131.0,1.122664500406174,1943.1300000000003,2023-08-28 16:52:22,2024-11-04 08:08:20,WeekDays,Debit,Milwaukee,Branch,Student,1
498.66999999999996,28.0,244.0,1.0,1719.97,2023-12-05 16:19:23,2024-11-04 08:08:24,WeekDays,Debit,Miami,Online,Student,0
227.22,53.0,220.0,1.0,832.82,2023-03-27 18:52:04,2024-11-04 08:11:56,WeekDays,Debit,El Paso,ATM,Doctor,1
211.36,30.0,34.0,1.0,7696.16,2023-12-11 16:06:51,2024-11-04 08:08:58,WeekDays,Debit,Tucson,Online,Engineer,0
56.94,76.0,74.0,1.0,7004.63,2023-12-11 16:52:47,2024-11-04 08:07:42,WeekDays,Credit,Charlotte,Online,Doctor,1
629.82,68.0,159.0,1.0,6385.69,2023-07-17 16:22:23,2024-11-04 08:11:59,WeekDays,Debit,Colorado Springs,ATM,Retired,1
59.44,35.0,176.0,1.0,5472.03,2023-06-13 17:52:56,2024-11-04 08:06:34,WeekDays,Debit,Chicago,Online,Engineer,0
186.69,30.0,53.99999999999999,1.0,8602.22,2023-12-29 16:38:21,2024-11-04 08:08:12,WeekEnds,Debit,New York,Branch,Engineer,0
230.46,19.0,179.0,1.0,162.53,2023-04-25 17:33:27,2024-11-04 08:08:50,WeekDays,Debit,Mesa,Online,Student,1
65.09,44.0,159.0,1.0,9370.9,2023-02-28 17:58:02,2024-11-04 08:09:41,WeekDays,Credit,Seattle,Online,Engineer,0
457.09,55.0,63.0,1.0,8570.82,2023-05-25 16:52:57,2024-11-04 08:08:45,WeekDays,Credit,Nashville,Online,Engineer,1
552.02,44.0,100.00000000000001,1.0,522.08,2023-11-30 16:51:46,2024-11-04 08:09:25,WeekDays,Credit,Chicago,ATM,Engineer,0
377.12,34.0,61.00000000000001,1.0,836.6699999999998,2023-08-14 17:12:27,2024-11-04 08:11:40,WeekDays,Debit,Houston,ATM,Engineer,0
204.56,18.0,179.0,1.0,364.72,2023-09-11 17:51:17,2024-11-04 08:10:26,WeekDays,Credit,San Diego,Branch,Student,1
420.28,35.0,144.0,1.0,8557.32,2023-05-17 17:28:25,2024-11-04 08:09:01,WeekDays,Debit,Washington,Branch,Doctor,0
97.09,24.0,202.0,1.122664500406174,1579.57,2023-04-10 18:26:56,2024-11-04 08:06:33,WeekDays,Debit,Fort Worth,ATM,Student,0
124.59,27.0,171.0,1.0,129.29,2023-05-05 17:32:18,2024-11-04 08:09:21,WeekEnds,Debit,Charlotte,Branch,Student,0
73.88,39.0,34.0,1.0,6474.41,2023-01-02 16:27:18,2024-11-04 08:09:09,WeekDays,Debit,Charlotte,Online,Doctor,0
77.43,21.0,169.0,1.0,4734.110000000001,2023-01-19 16:11:12,2024-11-04 08:06:33,WeekDays,Debit,Raleigh,Online,Student,0
106.16,56.0,277.0,1.122664500406174,7487.790000000001,2023-04-14 17:21:48,2024-11-04 08:08:51,WeekEnds,Debit,Phoenix,ATM,Doctor,1
245.93,54.0,172.0,1.0,7986.629999999999,2023-06-06 18:53:35,2024-11-04 08:11:58,WeekDays,Debit,Fresno,Branch,Engineer,1
622.41,64.0,125.0,1.0,7322.01,2023-12-11 16:57:41,2024-11-04 08:07:48,WeekDays,Debit,Indianapolis,ATM,Doctor,1
43.73,34.0,145.0,1.0,9929.43,2023-04-03 16:43:29,2024-11-04 08:10:33,WeekDays,Debit,Omaha,ATM,Doctor,0
211.36,19.0,68.00000000000001,1.0,1830.98,2023-05-15 16:52:40,2024-11-04 08:07:32,WeekDays,Debit,Austin,Branch,Student,1
2.03,33.0,28.0,1.0,3012.31,2024-01-01 16:07:05,2024-11-04 08:08:50,WeekDays,Credit,Detroit,ATM,Engineer,0
770.65,31.0,137.0,1.0,7198.8,2023-07-05 17:49:26,2024-11-04 08:09:01,WeekDays,Debit,Jacksonville,Online,Doctor,0
260.31,63.0,113.0,1.0,10980.38,2023-02-28 16:46:55,2024-11-04 08:12:03,WeekDays,Debit,Austin,Branch,Doctor,1
356.1,26.0,187.0,1.0,868.35,2023-10-25 16:13:39,2024-11-04 08:11:02,WeekDays,Credit,Fort Worth,Branch,Student,0
27.07,80.0,39.0,1.0,3773.2899999999995,2023-03-06 17:39:01,2024-11-04 08:09:57,WeekDays,Credit,Virginia Beach,Branch,Retired,1
119.89,67.0,60.00000000000001,1.0,6697.77,2023-12-19 17:11:31,2024-11-04 08:09:02,WeekDays,Debit,Tucson,ATM,Doctor,1
106.39,37.0,281.0,1.0,9410.99,2023-02-13 18:42:09,2024-11-04 08:10:32,WeekDays,Debit,Virginia Beach,Online,Doctor,0
12.04,37.0,58.00000000000001,1.0,6213.32,2023-11-15 16:08:52,2024-11-04 08:08:25,WeekDays,Debit,Fort Worth,Online,Engineer,0
365.7,21.0,115.0,1.122664500406174,368.78,2023-01-27 16:35:40,2024-11-04 08:10:17,WeekEnds,Debit,Houston,Branch,Student,0
29.38,28.0,63.0,1.0,1663.31,2023-02-15 16:30:09,2024-11-04 08:11:08,WeekDays,Credit,Baltimore,Branch,Student,0
319.85,60.0,148.0,1.0,711.6599999999999,2023-07-26 16:44:22,2024-11-04 08:07:45,WeekDays,Debit,Denver,ATM,Doctor,1
350.14,75.0,37.99999999999999,1.0,2403.25,2023-03-24 18:50:42,2024-11-04 08:08:40,WeekEnds,Credit,Los Angeles,Online,Retired,1
163.94,52.0,73.0,1.0,5957.37,2023-08-03 18:49:37,2024-11-04 08:09:51,WeekDays,Credit,Virginia Beach,Branch,Retired,1
170.53,24.0,58.00000000000001,1.0,801.01,2023-02-06 18:59:44,2024-11-04 08:09:49,WeekDays,Debit,Oklahoma City,Branch,Student,0
41.49,24.0,13.0,1.0,928.33,2023-04-24 16:47:20,2024-11-04 08:12:03,WeekDays,Debit,Albuquerque,Online,Student,0
121.43,52.0,243.0,1.0,7365.28,2023-03-21 16:20:33,2024-11-04 08:07:28,WeekDays,Credit,Sacramento,Branch,Engineer,1
350.46,51.0,165.0,1.0,5839.38,2023-12-08 16:16:02,2024-11-04 08:06:32,WeekEnds,Debit,Nashville,Branch,Retired,1
220.41,26.0,155.0,1.0,5116.98,2023-09-04 16:42:49,2024-11-04 08:10:04,WeekDays,Credit,El Paso,Online,Engineer,0
33.46,72.0,111.0,1.0,3641.07,2023-02-20 16:52:03,2024-11-04 08:09:12,WeekDays,Debit,Seattle,ATM,Retired,1
104.79,70.0,223.0,1.0,1352.19,2023-08-07 16:06:32,2024-11-04 08:10:07,WeekDays,Debit,Denver,ATM,Doctor,1
246.27000000000004,29.0,141.0,1.0,7299.86,2023-12-27 16:48:30,2024-11-04 08:10:57,WeekDays,Debit,Fresno,Online,Doctor,0
48.85,19.0,176.0,1.0,1503.56,2023-12-08 16:45:12,2024-11-04 08:07:15,WeekEnds,Debit,Dallas,ATM,Student,1
332.0,69.0,17.0,1.0,5943.13,2023-04-27 16:27:41,2024-11-04 08:07:03,WeekDays,Debit,Charlotte,ATM,Retired,1
118.1,54.0,167.0,1.0,895.6599999999999,2023-10-31 16:49:13,2024-11-04 08:09:14,WeekDays,Debit,Memphis,Online,Engineer,1
84.59,67.0,10.0,1.0,5669.1,2023-04-19 16:54:46,2024-11-04 08:07:12,WeekDays,Credit,Las Vegas,Branch,Doctor,1
295.64,21.0,82.0,1.0,1061.96,2023-12-14 17:31:18,2024-11-04 08:10:41,WeekDays,Debit,Jacksonville,Online,Student,0
514.33,25.0,160.0,1.0,1592.94,2023-06-02 16:27:08,2024-11-04 08:12:17,WeekEnds,Debit,Philadelphia,Branch,Student,0
211.36,43.0,112.0,1.0,6215.96,2023-02-27 18:23:11,2024-11-04 08:12:19,WeekDays,Debit,San Antonio,ATM,Doctor,0
94.59,39.0,34.0,1.0,6171.89,2023-12-01 17:04:00,2024-11-04 08:10:37,WeekEnds,Debit,Washington,Online,Doctor,0
80.43,59.0,157.0,1.0,5987.67,2023-01-04 16:09:43,2024-11-04 08:08:18,WeekDays,Debit,Columbus,Branch,Retired,1
54.25,68.0,37.0,1.0,14783.33,2023-07-31 16:51:50,2024-11-04 08:08:53,WeekDays,Debit,Virginia Beach,Online,Doctor,1
178.88,76.0,93.0,1.122664500406174,4708.29,2023-06-19 17:31:08,2024-11-04 08:12:10,WeekDays,Credit,Dallas,Branch,Retired,1
518.85,22.0,82.0,1.0,1806.0,2023-10-23 18:37:47,2024-11-04 08:06:37,WeekDays,Debit,Kansas City,Online,Student,0
10.65,54.0,161.0,1.0,13240.72,2023-04-24 16:24:49,2024-11-04 08:10:21,WeekDays,Debit,Louisville,Online,Doctor,1
107.03,27.0,73.0,1.0,1408.07,2023-03-06 18:27:13,2024-11-04 08:12:13,WeekDays,Debit,Miami,Branch,Student,0
139.57,19.0,263.0,1.122664500406174,271.78,2023-11-17 17:59:11,2024-11-04 08:07:23,WeekEnds,Debit,Fort Worth,ATM,Student,1
312.47,49.0,148.0,1.122664500406174,9419.27,2023-05-02 17:24:26,2024-11-04 08:08:05,WeekDays,Debit,Milwaukee,ATM,Doctor,0
346.11,41.0,213.0,1.0,9551.64,2023-01-04 17:00:17,2024-11-04 08:08:03,WeekDays,Debit,Dallas,Branch,Engineer,0
138.06,44.0,159.0,1.0,1070.47,2023-07-25 17:21:53,2024-11-04 08:06:52,WeekDays,Debit,Charlotte,Branch,Engineer,0
158.02,49.0,120.0,1.0,9374.24,2023-09-20 17:09:14,2024-11-04 08:09:57,WeekDays,Debit,New York,ATM,Engineer,0
830.01,66.0,96.0,1.0,4253.18,2023-07-21 16:43:59,2024-11-04 08:11:27,WeekEnds,Credit,Chicago,Online,Retired,1
435.5,55.0,112.0,1.0,6981.03,2023-05-15 18:41:05,2024-11-04 08:09:40,WeekDays,Debit,Oklahoma City,ATM,Doctor,1
110.49,57.0,48.0,1.0,10483.93,2023-10-31 17:06:47,2024-11-04 08:12:20,WeekDays,Debit,Raleigh,Online,Doctor,1
329.4,34.0,68.00000000000001,1.0,9588.07,2023-12-25 16:30:09,2024-11-04 08:07:55,WeekDays,Debit,Denver,Online,Doctor,0
635.4,47.0,106.0,1.0,1238.11,2023-09-19 16:55:00,2024-11-04 08:11:45,WeekDays,Debit,Denver,ATM,Doctor,0
769.97,22.0,22.999999999999996,1.0,1244.93,2023-02-16 18:56:44,2024-11-04 08:09:51,WeekDays,Debit,San Diego,Branch,Student,0
175.07,26.0,169.0,1.0,1040.25,2023-09-04 17:46:20,2024-11-04 08:08:15,WeekDays,Debit,Colorado Springs,Branch,Student,0
7.31,78.0,282.0,1.0,5757.67,2023-06-26 16:04:11,2024-11-04 08:07:15,WeekDays,Debit,Las Vegas,Branch,Retired,1
175.15,27.0,32.0,1.0,4734.110000000001,2023-11-09 17:02:41,2024-11-04 08:09:45,WeekDays,Debit,Detroit,ATM,Student,0
32.54,25.0,183.0,1.122664500406174,1544.88,2023-07-04 16:25:35,2024-11-04 08:07:01,WeekDays,Debit,Oklahoma City,Online,Student,0
121.82000000000001,60.0,119.0,1.0,4734.110000000001,2023-09-08 18:24:14,2024-11-04 08:11:30,WeekEnds,Debit,Dallas,Online,Doctor,1
56.12,30.0,102.0,1.0,8839.67,2023-09-13 18:49:55,2024-11-04 08:09:30,WeekDays,Debit,El Paso,ATM,Doctor,0
424.7,56.0,178.0,1.0,6239.89,2023-01-30 17:37:14,2024-11-04 08:08:25,WeekDays,Credit,Miami,Online,Retired,1
35.16,32.0,130.0,1.0,4734.110000000001,2023-10-25 17:50:23,2024-11-04 08:10:34,WeekDays,Debit,Chicago,Branch,Engineer,0
35.73,65.0,87.0,1.0,9073.17,2023-06-12 16:48:03,2024-11-04 08:11:09,WeekDays,Debit,Miami,Branch,Doctor,1
